Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endowrist_box,-1.8273E-08,0.015299,-0.0033896,0,0,0,0.1699,0.0001267,1.7466E-11,-3.1865E-11,0.00016301,-6.977E-07,6.3272E-05,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_box.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_box.STL,,Endowrist Box-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
endowrist_tube,9.4436E-09,-0.21543,4.421E-08,0,0,0,0.010496,0.00016247,1.789E-11,-3.4116E-13,1.4533E-07,8.1981E-11,0.00016247,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_tube.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_tube.STL,,Endowrist Mockup Tube-1,Origin_joint_endowrist_box_endowrist_tube,Axis_joint_endowrist_box_endowrist_tube,joint_endowrist_box_endowrist_tube,revolute,0,-0.04764,0.0175,0,0,0,endowrist_box,0,1,0,0,0,0,0,,,,,,,,
endowrist_body,0.005352,-2.5216E-07,-6.2233E-15,0,0,0,0.00047278,4.5231E-09,-1.4703E-23,9.3274E-25,9.8411E-09,3.0203E-17,8.4079E-09,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_body.STL,,Endowrist Mockup Body-1,Origin_joint_endowrist_tube_endowrist_body,Axis_joint_endowrist_tube_endowrist_body,joint_endowrist_tube_endowrist_body,revolute,0,-0.432,0,-1.5708,0,-1.5708,endowrist_tube,0,1,0,0,0,0,0,,,,,,,,
endowrist_forcep1,0.0015257,0.0007449,-0.00019009,0,0,0,9.8579E-05,3.1275E-10,1.1473E-10,7.2329E-11,1.3423E-09,-1.3939E-11,1.1524E-09,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_forcep1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_forcep1.STL,,Endowrist Mockup Forcep-2,Origin_joint_endowrist_body_endowrist_forcep1,Axis_joint_endowrist_body_endowrist_forcep1,joint_endowrist_body_endowrist_forcep1,revolute,0.01,0,0,-1.5708,0,0,endowrist_body,0,1,0,0,0,0,0,,,,,,,,
endowrist_forcep2,0.0015623,-0.0007449,0.00018984,0,0,0,9.8579E-05,3.1275E-10,-1.1473E-10,-7.2329E-11,1.3423E-09,-1.3939E-11,1.1524E-09,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_forcep2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Endowrist Mockup.SLDASM/meshes/endowrist_forcep2.STL,,Endowrist Mockup Forcep-1,Origin_joint_endowrist_body_endowrist_forcep2,Axis_joint_endowrist_body_endowrist_forcep2,joint_endowrist_body_endowrist_forcep2,revolute,0.0099633,0,0,-1.5708,0,0,endowrist_body,0,1,0,0,0,0,0,,,,,,,,
